PROTOCOL,SRCMAC,SRCMFG,SRCIP,SRCPORT,DSTMAC,DSTMFG,DSTIP,DSTPORT,CNT
TCP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,192.108.254.114,443,8.0
TCP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,192.108.254.114,443,6.0
,,,,,,,,,
TCP,f0:09:0d:4d:83:00,TP-Link Systems Inc,35.186.224.46,443,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,4.0
TCP,f0:09:0d:4d:83:00,TP-Link Systems Inc,35.186.224.46,443,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,2.0
,,,,,,,,,
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,33950,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,17848,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,10233,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
UDP,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,46726,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,1.0
,,,,,,,,,
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,33950,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,EPH,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,17848,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,46726,1.0
UDP,f0:09:0d:4d:83:00,TP-Link Systems Inc,68.105.28.15,53,c2:30:6b:75:12:d8,UNKNOWN,192.168.68.68,10233,1.0
